date_key,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20180307,2018-03-07,2018,1,3,March,7,Wednesday,False
20180308,2018-03-08,2018,1,3,March,8,Thursday,False
20180309,2018-03-09,2018,1,3,March,9,Friday,False
20180310,2018-03-10,2018,1,3,March,10,Saturday,True
20180311,2018-03-11,2018,1,3,March,11,Sunday,True
20180312,2018-03-12,2018,1,3,March,12,Monday,False
20180313,2018-03-13,2018,1,3,March,13,Tuesday,False
20180314,2018-03-14,2018,1,3,March,14,Wednesday,False
20180315,2018-03-15,2018,1,3,March,15,Thursday,False
20180316,2018-03-16,2018,1,3,March,16,Friday,False
20180317,2018-03-17,2018,1,3,March,17,Saturday,True
20180318,2018-03-18,2018,1,3,March,18,Sunday,True
20180319,2018-03-19,2018,1,3,March,19,Monday,False
20180320,2018-03-20,2018,1,3,March,20,Tuesday,False
20180321,2018-03-21,2018,1,3,March,21,Wednesday,False
20180322,2018-03-22,2018,1,3,March,22,Thursday,False
20180323,2018-03-23,2018,1,3,March,23,Friday,False
20180324,2018-03-24,2018,1,3,March,24,Saturday,True
20180325,2018-03-25,2018,1,3,March,25,Sunday,True
20180326,2018-03-26,2018,1,3,March,26,Monday,False
20180327,2018-03-27,2018,1,3,March,27,Tuesday,False
20180328,2018-03-28,2018,1,3,March,28,Wednesday,False
20180329,2018-03-29,2018,1,3,March,29,Thursday,False
20180330,2018-03-30,2018,1,3,March,30,Friday,False
20180331,2018-03-31,2018,1,3,March,31,Saturday,True
20180401,2018-04-01,2018,2,4,April,1,Sunday,True
20180402,2018-04-02,2018,2,4,April,2,Monday,False
20180403,2018-04-03,2018,2,4,April,3,Tuesday,False
20180404,2018-04-04,2018,2,4,April,4,Wednesday,False
20180405,2018-04-05,2018,2,4,April,5,Thursday,False
20180406,2018-04-06,2018,2,4,April,6,Friday,False
20180407,2018-04-07,2018,2,4,April,7,Saturday,True
20180408,2018-04-08,2018,2,4,April,8,Sunday,True
20180409,2018-04-09,2018,2,4,April,9,Monday,False
20180410,2018-04-10,2018,2,4,April,10,Tuesday,False
